"idJeu","libelleJeu","auteurJeu","nbMinJoueurJeu","nbMaxJoueurJeu","noticeJeu","idEditeur","idTypeJeu","agemini","prototype","duree","theme","description","imageJeu","videoRegle"
"1163","Crazy Faces","Yoann Levet","1","1","https://www.didacto.com/index.php?controller=attachment&id_attachment=3524","133","4","5","0","10","Fantastique, Monstres","Morceau par morceau, reproduisez le visage d’un drôle de monstre en superposant les visages à trous.","https://cdn1.philibertnet.com/597407-large_default/crazy-faces-sologic.jpg","https://www.youtube.com/watch?v=-CplOLSQQt4"
"1164","Motu","Scott Almes","1","5","https://unemamanloutre.wordpress.com/2023/12/02/mon-avis-sur-motu-la-construction-dune-ile-equilibree-au-timing-complexe/","280","1","7","0","30","Ocean","Motu est un jeu de constitution de territoire par pose et superposition de cartes de Scott Almes qui vous transportera dans les îles de la déesse Motu !","https://cdn2.philibertnet.com/591093-large_default/motu.jpg","https://www.youtube.com/watch?v=jGEJJzkHRyM&t=1s"
"1165","RIP","Alexandre Droit","2","5","https://www.philibertnet.com/fr/index.php?controller=attachment&id_attachment=6204","116","1","10","0","30","Bandes Dessinées","Dans ce jeu de société captivant, intitulé RIP, vous incarnez des joueurs avides qui rivalisent pour obtenir les objets les plus précieux.","https://cdn2.philibertnet.com/586296-large_default/rip.jpg","https://www.youtube.com/watch?v=NLGT8XP4Dpg"
"1166","Naéco","Florent Toscano","2","4","https://www.jeux-opla.fr/wp-content/uploads/OPLA-naeco-livret-lgt.pdf","116","1","8","0","15","Abysses","Explorez les abysses pour observer des espèces toutes plus surprenantes les unes que les autres ! Naéco est un jeu aussi tactique que simple d’accès, proposant un système original d’objectifs de jeu, permettant à toutes les parties d’être différentes…Jolie plongée…","https://www.jeux-opla.fr/wp-content/uploads/OPLA-NAECO-img300x-avril.png","https://www.youtube.com/watch?v=7E0BdKEpoqE"
"1167","Kintsugi","Patrick Rauland","2","4","https://www.youtube.com/watch?v=kZy87JGvaFk&t=3s","275","1","10","0","15","Japon, Céramique","Dans ce jeu de collection, vous allez rassembler des cartes d'objets en céramique pour former des collections, certains seront brisés et surtout ceux qui seront réparés avec la méthode Kintsugi seront les plus précieux.","https://cdn1.philibertnet.com/607261-large_default/kintsugi.jpg","https://www.youtube.com/watch?v=kZy87JGvaFk&t=3s"
"1169","BLOT","David Paput, Eric Plotton, Yann Grizonnet, Yohan Callet","2","5",,"275","6","10","0","30","Médiéval, Mythes et croyances","Dans BLOT, vous êtes convié à déposer des offrandes lors de quatre cérémonies simultanées en l’honneur des Ases, les puissants dieux nordiques. ","https://www.palladisgames.fr/wp-content/uploads/2024/02/com-2.png",
"1170","Odin","Hope S. Hwang, Yohan Goh, Gary Kim","2","6","https://vitrine-wilsonjeux.fr/?_l=&_p=documents&barcode=99388&dl=414","265","1","7","0","15","Mythologie Nordique","Envoyez vos meilleurs vikings à la bagarre ! Récupérez les cartes avec les bons personnages de la mythologie nordique pour composer votre main et surprendre vos adversaires.","https://cdn2.philibertnet.com/730541-large_default/odin.jpg","https://www.youtube.com/watch?v=IpP4pLtgHfY"
"1171","Countries","Jan et Björn Feldmann","2","12","https://vitrine-wilsonjeux.fr/?_l=&_p=documents&barcode=91360&dl=416","345","1","14","0","20","Géographie, Démographie","Testez vos connaissances en comparant les pays du monde avec Countries - Le Jeu !","https://cdn3.philibertnet.com/609044-large_default/countries-le-jeu.jpg","https://www.youtube.com/watch?v=rrl6lPLcmjo"
"1172","Chocolates","Ségolène et Jean-Paul Monnet","2","4","https://vitrine-wilsonjeux.fr/?_l=&_p=documents&barcode=6718&dl=427","346","1","10","0","15","Chocolat","Ouvrez cette boîte de délicieux chocolats et découvrez son contenu petit à petit. Il faudra être prudent et user de tactique pour parvenir à vos fins. Évaluer au mieux la situation pour récolter le plus de points. Vos papilles sont en émoi ? Que la partie commence !","https://cdnphotos.fastmag.fr/photos/55/100x100/6718/_/1/photo.jpg","https://www.youtube.com/watch?v=bjG67n9RYq0"
"1173","Ruses et Trahisons","Marc Hein","3","6","https://vitrine-wilsonjeux.fr/?_l=&_p=documents&barcode=7250&dl=354","346","1","10","0","30","Contemporain","Ruses & Trahisons est un jeu de tactique, de bluff et de fourberies où deux clans s'opposent. Lequel te permettra d'obtenir le plus rapidement pouvoir et argent ?","https://cdn1.philibertnet.com/588507-large_default/ruses-trahisons.jpg","https://www.youtube.com/watch?v=hKL_SVcACn0"
